492 106 255 113 115 297 326 103 = 0
326 323 379 50 427 122 461 9 = 0
269 327 488 251 376 52 66 60 = 0
282 329 415 307 483 302 90 182 = 0
602 451 216 433 567 269 178 102 = 0
84 158 617 344 279 261 93 69 = 0
273 116 180 91 326 173 50 395 = 0
7 284 445 225 321 436 130 302 = 0
615 444 97 193 289 286 105 176 = 0
150 363 604 74 407 254 385 222 = 0
251 123 304 428 298 156 568 367 = 0
92 379 408 236 340 252 559 434 = 0
58 74 250 315 579 414 26 226 = 0
276 412 572 357 102 17 41 347 = 0
59 124 249 105 481 446 600 181 = 0
435 81 491 177 277 111 409 40 = 0
485 186 33 137 256 87 367 69 = 0
189 452 71 328 464 299 523 106 = 0
69 100 635 28 168 30 419 63 = 0
355 121 331 446 325 218 243 276 = 0
220 73 30 241 548 164 368 59 = 0
571 303 16 347 114 204 84 74 = 0
348 437 71 232 336 99 205 467 = 0
117 29 155 218 281 354 367 155 = 0
169 408 291 63 28 218 353 75 = 0
360 206 458 53 403 283 164 56 = 1
436 317 77 249 608 408 178 184 = 0
5 172 459 410 503 270 223 284 = 0
162 309 26 74 299 65 390 364 = 0
211 188 4 315 627 277 624 222 = 0
542 100 368 226 303 179 148 182 = 0
425 238 130 61 201 405 50 431 = 0
456 308 425 42 306 244 496 360 = 1
196 360 24 462 597 284 138 282 = 1
411 333 471 428 270 339 219 332 = 0
461 79 563 100 134 133 450 201 = 0
455 470 468 13 173 159 516 419 = 0
502 336 324 10 620 284 306 446 = 1
132 167 178 379 236 165 547 96 = 0
67 102 570 416 569 459 492 148 = 0
439 179 615 121 492 433 261 126 = 1
308 185 467 20 611 259 464 441 = 0
389 22 424 240 498 384 350 407 = 0
250 152 452 412 564 30 1 116 = 1
233 218 282 400 419 422 105 265 = 0
456 339 421 209 510 204 510 458 = 0
16 153 49 59 404 314 595 132 = 0
485 73 444 59 622 100 215 210 = 1
339 126 354 361 373 104 207 101 = 1
468 282 261 464 306 82 42 64 = 0
408 36 258 198 468 232 309 408 = 0
394 90 368 133 373 423 168 313 = 0
37 348 606 260 169 128 226 127 = 0
172 173 337 243 473 343 590 329 = 0
369 357 228 55 236 32 405 6 = 0
187 188 64 60 241 134 140 76 = 0
483 139 97 314 102 196 508 290 = 0
58 47 361 20 3 348 482 239 = 0
287 135 172 19 534 455 431 319 = 0
335 143 269 365 564 49 109 24 = 1
228 167 449 149 611 118 340 297 = 0
620 402 150 429 344 263 515 132 = 0
157 120 522 101 472 386 569 261 = 0
287 116 65 150 549 81 521 183 = 0
528 14 457 364 586 450 554 437 = 0
114 6 506 460 186 392 278 45 = 0
170 407 450 306 409 138 552 436 = 0
606 32 67 457 353 431 520 171 = 0
409 170 599 12 90 392 515 174 = 1
128 267 633 140 281 275 594 429 = 0
100 126 337 56 84 250 86 418 = 0
383 65 198 17 419 165 77 409 = 0
238 367 323 129 277 473 298 73 = 0
158 98 19 60 609 231 514 117 = 1
38 453 241 397 513 114 508 425 = 0
314 142 203 209 79 457 299 190 = 0
511 452 510 42 502 111 167 373 = 0
231 187 451 94 637 161 235 257 = 0
445 338 590 414 140 137 141 351 = 1
444 356 219 231 362 76 636 121 = 0
499 172 22 210 621 18 500 98 = 0
79 167 523 336 384 176 205 417 = 0
280 116 270 287 151 219 464 57 = 0
574 365 551 284 209 3 225 138 = 0
598 33 408 469 14 395 575 91 = 0
534 453 190 317 502 182 242 165 = 0
313 134 514 143 173 366 33 46 = 1
12 350 279 368 415 42 457 419 = 0
263 193 411 97 555 26 137 54 = 0
36 97 578 470 11 285 88 13 = 0
181 11 24 210 18 370 335 323 = 0
450 125 51 204 593 469 85 33 = 0
160 229 239 435 606 45 503 348 = 0
520 385 461 36 477 43 226 7 = 0
76 452 102 171 238 90 595 476 = 0
360 234 507 172 424 350 121 379 = 0
270 390 427 263 390 358 472 243 = 0
315 282 364 447 562 139 594 13 = 0
118 440 206 218 43 394 84 192 = 0
4 283 8 401 243 222 22 199 = 0
